family,condition,exact_state_valid,count
dependency_graph,answer_known_verification_unfinished,True,6
dependency_graph,complete_answer_allowed,True,6
dependency_graph,complete_answer_forbidden,True,6
dependency_graph,concise,True,43
dependency_graph,confident_guess,True,6
dependency_graph,confirmation,True,43
dependency_graph,length_matched_progress,True,43
dependency_graph,loop,True,6
dependency_graph,plausible_digression,True,43
dependency_graph,redundant_valid,True,43
dependency_graph,repeated_summary,True,43
dependency_graph,rollback,True,6
dependency_graph,teleport,True,6
dependency_graph,verbose_paraphrase,True,43
dependency_graph,work_nearly_complete_answer_unknown,True,6
fictional_ontology,answer_known_verification_unfinished,True,6
fictional_ontology,complete_answer_allowed,True,6
fictional_ontology,complete_answer_forbidden,True,6
fictional_ontology,concise,True,34
fictional_ontology,confident_guess,True,6
fictional_ontology,confirmation,True,34
fictional_ontology,length_matched_progress,True,34
fictional_ontology,loop,True,6
fictional_ontology,plausible_digression,True,34
fictional_ontology,redundant_valid,True,34
fictional_ontology,repeated_summary,True,34
fictional_ontology,rollback,True,6
fictional_ontology,teleport,True,6
fictional_ontology,verbose_paraphrase,True,34
fictional_ontology,work_nearly_complete_answer_unknown,True,6
iterative_state_machine,answer_known_verification_unfinished,True,6
iterative_state_machine,complete_answer_allowed,True,6
iterative_state_machine,complete_answer_forbidden,True,6
iterative_state_machine,concise,True,38
iterative_state_machine,confident_guess,True,6
iterative_state_machine,confirmation,True,38
iterative_state_machine,length_matched_progress,True,38
iterative_state_machine,loop,True,6
iterative_state_machine,plausible_digression,True,38
iterative_state_machine,redundant_valid,True,38
iterative_state_machine,repeated_summary,True,38
iterative_state_machine,rollback,True,6
iterative_state_machine,teleport,True,6
iterative_state_machine,verbose_paraphrase,True,38
iterative_state_machine,work_nearly_complete_answer_unknown,True,6
