layer,problem_i,problem_j,projector_similarity
0,iterative-00000,iterative-00000,0.9999999999999993
0,iterative-00000,ontology-00000,0.9732618227322098
0,iterative-00000,dependency-00000,0.9776036915117357
0,iterative-00000,iterative-00001,0.9795485555311176
0,iterative-00000,ontology-00001,0.9731793635270346
0,iterative-00000,dependency-00001,0.9743637356925954
0,iterative-00000,iterative-00002,0.9692279581731484
0,iterative-00000,ontology-00002,0.9711946912136571
0,iterative-00000,dependency-00002,0.979453756346996
0,iterative-00000,iterative-00003,0.9755233159193177
0,iterative-00000,ontology-00003,0.9794196875874767
0,iterative-00000,dependency-00003,0.9803976260852578
0,iterative-00000,iterative-00004,0.9734908865616112
0,iterative-00000,ontology-00004,0.9822203542344607
0,iterative-00000,dependency-00004,0.9830916024805691
0,iterative-00000,iterative-00005,0.9792666771114416
0,iterative-00000,ontology-00005,0.9723559571794069
0,iterative-00000,dependency-00005,0.9687811426483379
0,ontology-00000,iterative-00000,0.9732618227322098
0,ontology-00000,ontology-00000,1.0
0,ontology-00000,dependency-00000,0.9711217064799997
0,ontology-00000,iterative-00001,0.9786540587987496
0,ontology-00000,ontology-00001,0.9822995761617519
0,ontology-00000,dependency-00001,0.9826384505325121
0,ontology-00000,iterative-00002,0.9752719496137164
0,ontology-00000,ontology-00002,0.9791213835098204
0,ontology-00000,dependency-00002,0.985436016920203
0,ontology-00000,iterative-00003,0.9823723341961612
0,ontology-00000,ontology-00003,0.9803377355245313
0,ontology-00000,dependency-00003,0.9830149942828041
0,ontology-00000,iterative-00004,0.9784239854626844
0,ontology-00000,ontology-00004,0.9816773862408809
0,ontology-00000,dependency-00004,0.9825652466175726
0,ontology-00000,iterative-00005,0.9770493350070615
0,ontology-00000,ontology-00005,0.9739123657614883
0,ontology-00000,dependency-00005,0.9736012277537303
0,dependency-00000,iterative-00000,0.9776036915117357
0,dependency-00000,ontology-00000,0.9711217064799997
0,dependency-00000,dependency-00000,0.9999999999999997
0,dependency-00000,iterative-00001,0.9833747998258262
0,dependency-00000,ontology-00001,0.9794468870080827
0,dependency-00000,dependency-00001,0.9752386783038235
0,dependency-00000,iterative-00002,0.9789174197533215
0,dependency-00000,ontology-00002,0.9769282108036099
0,dependency-00000,dependency-00002,0.9793759529369244
0,dependency-00000,iterative-00003,0.9798210873931398
0,dependency-00000,ontology-00003,0.9802061815461413
0,dependency-00000,dependency-00003,0.9755645610825021
0,dependency-00000,iterative-00004,0.9766123452785902
0,dependency-00000,ontology-00004,0.9798456305284683
0,dependency-00000,dependency-00004,0.981183777269085
0,dependency-00000,iterative-00005,0.9850697674931522
0,dependency-00000,ontology-00005,0.9752859056338443
0,dependency-00000,dependency-00005,0.9775781761698458
0,iterative-00001,iterative-00000,0.9795485555311176
0,iterative-00001,ontology-00000,0.9786540587987496
0,iterative-00001,dependency-00000,0.9833747998258262
0,iterative-00001,iterative-00001,1.0
0,iterative-00001,ontology-00001,0.9818900309131283
0,iterative-00001,dependency-00001,0.9807409349147428
0,iterative-00001,iterative-00002,0.980642017919662
0,iterative-00001,ontology-00002,0.9729487569469147
0,iterative-00001,dependency-00002,0.9840068735584993
0,iterative-00001,iterative-00003,0.9820060138265863
0,iterative-00001,ontology-00003,0.9853604901619224
0,iterative-00001,dependency-00003,0.9820711871460894
0,iterative-00001,iterative-00004,0.9830621083995148
0,iterative-00001,ontology-00004,0.9909647785028298
0,iterative-00001,dependency-00004,0.9866587262022164
0,iterative-00001,iterative-00005,0.983931839718927
0,iterative-00001,ontology-00005,0.9790042682189516
0,iterative-00001,dependency-00005,0.9761215027258396
0,ontology-00001,iterative-00000,0.9731793635270346
0,ontology-00001,ontology-00000,0.9822995761617519
0,ontology-00001,dependency-00000,0.9794468870080827
0,ontology-00001,iterative-00001,0.9818900309131283
0,ontology-00001,ontology-00001,0.9999999999999998
0,ontology-00001,dependency-00001,0.9781683916907501
0,ontology-00001,iterative-00002,0.97496265508038
0,ontology-00001,ontology-00002,0.9766474991258987
0,ontology-00001,dependency-00002,0.981118647411489
0,ontology-00001,iterative-00003,0.9848721177380733
0,ontology-00001,ontology-00003,0.9850343898768956
0,ontology-00001,dependency-00003,0.9832295455091643
0,ontology-00001,iterative-00004,0.9780735399207766
0,ontology-00001,ontology-00004,0.9838392439651026
0,ontology-00001,dependency-00004,0.9878192421716541
0,ontology-00001,iterative-00005,0.981783369524579
0,ontology-00001,ontology-00005,0.9770538571458849
0,ontology-00001,dependency-00005,0.9790734187467901
0,dependency-00001,iterative-00000,0.9743637356925954
0,dependency-00001,ontology-00000,0.9826384505325121
0,dependency-00001,dependency-00000,0.9752386783038235
0,dependency-00001,iterative-00001,0.9807409349147428
0,dependency-00001,ontology-00001,0.9781683916907501
0,dependency-00001,dependency-00001,0.9999999999999999
0,dependency-00001,iterative-00002,0.9773630048418194
0,dependency-00001,ontology-00002,0.978030561628416
0,dependency-00001,dependency-00002,0.9851161742002192
0,dependency-00001,iterative-00003,0.9842907025321475
0,dependency-00001,ontology-00003,0.980609802258186
0,dependency-00001,dependency-00003,0.98360039522082
0,dependency-00001,iterative-00004,0.9780332655067284
0,dependency-00001,ontology-00004,0.9842049624486191
0,dependency-00001,dependency-00004,0.9867110982287066
0,dependency-00001,iterative-00005,0.9830953989123759
0,dependency-00001,ontology-00005,0.9819240974643308
0,dependency-00001,dependency-00005,0.9777187008542686
0,iterative-00002,iterative-00000,0.9692279581731484
0,iterative-00002,ontology-00000,0.9752719496137164
0,iterative-00002,dependency-00000,0.9789174197533215
0,iterative-00002,iterative-00001,0.980642017919662
0,iterative-00002,ontology-00001,0.97496265508038
0,iterative-00002,dependency-00001,0.9773630048418194
0,iterative-00002,iterative-00002,0.9999999999999994
0,iterative-00002,ontology-00002,0.9724032329535712
0,iterative-00002,dependency-00002,0.9846418470857092
0,iterative-00002,iterative-00003,0.980922384922225
0,iterative-00002,ontology-00003,0.9790587260483476
0,iterative-00002,dependency-00003,0.9767384983140375
0,iterative-00002,iterative-00004,0.979757990748964
0,iterative-00002,ontology-00004,0.9796888570588944
0,iterative-00002,dependency-00004,0.977649036952698
0,iterative-00002,iterative-00005,0.986212957591554
0,iterative-00002,ontology-00005,0.975889697146777
0,iterative-00002,dependency-00005,0.9776119528424432
0,ontology-00002,iterative-00000,0.9711946912136571
0,ontology-00002,ontology-00000,0.9791213835098204
0,ontology-00002,dependency-00000,0.9769282108036099
0,ontology-00002,iterative-00001,0.9729487569469147
0,ontology-00002,ontology-00001,0.9766474991258987
0,ontology-00002,dependency-00001,0.978030561628416
0,ontology-00002,iterative-00002,0.9724032329535712
0,ontology-00002,ontology-00002,0.9999999999999997
0,ontology-00002,dependency-00002,0.9840074547498114
0,ontology-00002,iterative-00003,0.9782154922606692
0,ontology-00002,ontology-00003,0.9756262419805666
0,ontology-00002,dependency-00003,0.9784532303768462
0,ontology-00002,iterative-00004,0.9781349504712212
0,ontology-00002,ontology-00004,0.9764854580469433
0,ontology-00002,dependency-00004,0.9762213817041552
0,ontology-00002,iterative-00005,0.9763000987931097
0,ontology-00002,ontology-00005,0.9704641952130795
0,ontology-00002,dependency-00005,0.9762939691183484
0,dependency-00002,iterative-00000,0.979453756346996
0,dependency-00002,ontology-00000,0.985436016920203
0,dependency-00002,dependency-00000,0.9793759529369244
0,dependency-00002,iterative-00001,0.9840068735584994
0,dependency-00002,ontology-00001,0.981118647411489
0,dependency-00002,dependency-00001,0.9851161742002192
0,dependency-00002,iterative-00002,0.9846418470857092
0,dependency-00002,ontology-00002,0.9840074547498114
0,dependency-00002,dependency-00002,1.0000000000000002
0,dependency-00002,iterative-00003,0.9843167194927744
0,dependency-00002,ontology-00003,0.9839772328228559
0,dependency-00002,dependency-00003,0.9870398141250896
0,dependency-00002,iterative-00004,0.9850297451523364
0,dependency-00002,ontology-00004,0.9834422461040025
0,dependency-00002,dependency-00004,0.9855524061923047
0,dependency-00002,iterative-00005,0.9894462050655375
0,dependency-00002,ontology-00005,0.9809477093908309
0,dependency-00002,dependency-00005,0.9780881131804349
0,iterative-00003,iterative-00000,0.9755233159193177
0,iterative-00003,ontology-00000,0.9823723341961612
0,iterative-00003,dependency-00000,0.9798210873931398
0,iterative-00003,iterative-00001,0.9820060138265863
0,iterative-00003,ontology-00001,0.984872117738073
0,iterative-00003,dependency-00001,0.9842907025321475
0,iterative-00003,iterative-00002,0.980922384922225
0,iterative-00003,ontology-00002,0.9782154922606692
0,iterative-00003,dependency-00002,0.9843167194927744
0,iterative-00003,iterative-00003,1.0000000000000016
0,iterative-00003,ontology-00003,0.9843125336875733
0,iterative-00003,dependency-00003,0.9862724005554279
0,iterative-00003,iterative-00004,0.9796427729036588
0,iterative-00003,ontology-00004,0.9857188581871092
0,iterative-00003,dependency-00004,0.9869693424099327
0,iterative-00003,iterative-00005,0.9834931961381139
0,iterative-00003,ontology-00005,0.9782369370227801
0,iterative-00003,dependency-00005,0.9833891089083379
0,ontology-00003,iterative-00000,0.9794196875874767
0,ontology-00003,ontology-00000,0.9803377355245313
0,ontology-00003,dependency-00000,0.9802061815461413
0,ontology-00003,iterative-00001,0.9853604901619224
0,ontology-00003,ontology-00001,0.9850343898768956
0,ontology-00003,dependency-00001,0.9806098022581857
