layer,estimator,validation_selectivity_mean,test_selectivity_mean,test_selectivity_std,calibration_traces,validation_traces,test_traces,radius_threshold,ridge,complex_component_1_fraction,fit_seconds,algorithm,cg_iterations,dense_covariance_bytes,draw
0,grassmann,12.134919664945778,14.85920381913439,1.3715152658820413,14,1,2,1.2031255341444116,,,0.0013939999626018107,grassmann,,16384,
0,generalized_eigen,12.526255714828618,14.853995603738731,0.16954326820638954,14,1,2,1.2016983023269816,0.1,,0.006910800002515316,dense,,16384,
0,complex_svd,12.13459006628451,14.857933061262106,1.370851839608199,14,1,2,1.2031146526133414,,0.990207111407691,0.0009582999628037214,complex_svd,,16384,
0,random_plane,0.5873539682867306,0.7341513100407128,,,,,,,,,,,,0
0,random_plane,3.8249645536839716,4.827823244780358,,,,,,,,,,,,1
0,random_plane,1.8817456028075998,3.221891205962029,,,,,,,,,,,,2
0,random_plane,0.8915673634664265,1.3935051414476134,,,,,,,,,,,,3
0,random_plane,3.5156850155088106,2.818445530685832,,,,,,,,,,,,4
0,random_plane,3.548595561118994,3.0609004047351958,,,,,,,,,,,,5
0,random_plane,4.001202160505468,2.3909932985658493,,,,,,,,,,,,6
0,random_plane,1.2191043930366587,1.3575348565948475,,,,,,,,,,,,7
1,grassmann,15.299454946371965,16.928975794775262,0.675919452710227,14,1,2,1.2291256610593173,,,0.0010581999667920172,grassmann,,16384,
1,generalized_eigen,17.353832639848125,16.593052189530262,1.7478361996767777,14,1,2,1.2315441886966714,0.0001,,0.005245400010608137,dense,,16384,
1,complex_svd,15.30049014990063,16.929465995212055,0.675609363070631,14,1,2,1.2291218886501822,,0.9951194848023819,0.0005221000174060464,complex_svd,,16384,
1,random_plane,6.972505096345036,6.539218313950608,,,,,,,,,,,,0
1,random_plane,5.449523609194049,5.3090733379324355,,,,,,,,,,,,1
1,random_plane,1.4884752423514092,1.278368696079831,,,,,,,,,,,,2
1,random_plane,5.205579358668245,4.434599536115097,,,,,,,,,,,,3
1,random_plane,6.471529368015079,5.281563802899811,,,,,,,,,,,,4
1,random_plane,4.136744499367114,4.1447275307519735,,,,,,,,,,,,5
1,random_plane,6.945391012348633,7.455297098801083,,,,,,,,,,,,6
1,random_plane,2.85344546189459,2.693371507466037,,,,,,,,,,,,7
2,grassmann,17.056690683650157,18.734558551386453,2.520392638570023,14,1,2,1.2488567635079755,,,0.0005569999921135604,grassmann,,16384,
2,generalized_eigen,17.834030282478263,20.97377492991803,0.8382289172933834,14,1,2,1.2406984293462244,0.1,,0.005682899965904653,dense,,16384,
2,complex_svd,17.056250959477804,18.734884413787377,2.5207690517057344,14,1,2,1.2488704017887198,,0.9972512997724692,0.0009456000407226384,complex_svd,,16384,
2,random_plane,8.761928807581251,8.10429746448121,,,,,,,,,,,,0
2,random_plane,8.513046801477325,10.96818275559221,,,,,,,,,,,,1
2,random_plane,12.543971291802494,10.979267981869935,,,,,,,,,,,,2
2,random_plane,1.4624486955926668,1.9024991357346335,,,,,,,,,,,,3
2,random_plane,11.241281999079932,11.865209593635981,,,,,,,,,,,,4
2,random_plane,12.33002079415789,14.117748118768194,,,,,,,,,,,,5
2,random_plane,5.956692600532017,5.336995947195561,,,,,,,,,,,,6
2,random_plane,6.029234545648896,5.548088740213504,,,,,,,,,,,,7
3,grassmann,17.932671996080444,20.963303807012394,2.1170302361107467,14,1,2,1.2606670564926603,,,0.0009364999714307487,grassmann,,16384,
3,generalized_eigen,16.216555334601445,19.236705590780772,1.245401297065877,14,1,2,1.2586556774091928,0.1,,0.009229899966157973,dense,,16384,
3,complex_svd,17.932815307624157,20.96339082769166,2.117185616839814,14,1,2,1.2638706630225454,,0.9981615173783717,0.0011881000245921314,complex_svd,,16384,
3,random_plane,13.445074933463363,16.29304376052462,,,,,,,,,,,,0
3,random_plane,11.066539705464118,14.890180126706394,,,,,,,,,,,,1
3,random_plane,13.662081104536064,18.520819848430328,,,,,,,,,,,,2
3,random_plane,11.36194555673934,15.431406558525087,,,,,,,,,,,,3
3,random_plane,18.256486804858614,17.607654108049566,,,,,,,,,,,,4
3,random_plane,15.925288322050482,15.978546347630862,,,,,,,,,,,,5
3,random_plane,10.869361226379914,14.399130345973601,,,,,,,,,,,,6
3,random_plane,6.060806059252487,7.395070739053655,,,,,,,,,,,,7
