policy,knowledge,objective,min_gain_sec,max_count_imbalance,n_seeds,p50,p95,p99,ttft_p50,ttft_p95,ttft_p99,tokens_per_sec,mean_gpu_busy,mean_slot_occupancy,pending_p95,waiting_p95,waiting_fraction,overrides,p95_delta_vs_queue_sec,ttft_p95_delta_vs_queue_sec
guarded_completion_helix,helix,completion,0.0,2,3,13.894264017986963,39.732346079603396,46.94460963358042,2.9078615298540824,12.14298145851898,15.231299416329952,785.6372496793714,0.9504685949230759,0.6166216909385467,96.01666666666667,48.01666666666667,0.8366666666666666,121.33333333333333,-0.11172732087342752,-0.548752320509287
guarded_ttft_helix,helix,ttft,0.75,2,3,13.988421570939833,40.252750457605195,47.497336337620986,3.0233468688860605,12.182125010137087,15.0992901393369,783.4777873780498,0.9452339287411277,0.6155458413828845,94.01666666666667,46.01666666666667,0.8366666666666666,41.666666666666664,0.4086770571283722,-0.5096087688911801
guarded_ttft_oracle,oracle,ttft,0.0,2,3,14.169341397649122,39.86002243308138,46.864326513055055,3.0927642706152416,12.2282900642588,14.947157485811283,787.4534576892214,0.9488678560032303,0.6194611338809352,94.71666666666668,46.716666666666676,0.831111111111111,128.33333333333334,0.015949032604559932,-0.46344371476946655
guarded_completion_helix,helix,completion,0.0,0,3,14.078975899045751,39.46094752732302,47.3734670838404,2.923375445737243,12.22961703303523,15.771839308960855,781.4988092127073,0.944834198624382,0.6138235189239393,95.35000000000001,47.35,0.8411111111111111,65.66666666666667,-0.3831258731538014,-0.4621167459930362
guarded_ttft_oracle,oracle,ttft,0.0,0,3,14.197191147027391,40.17389081543373,46.650427984512675,2.9962829421149433,12.262742092125015,15.351804304419831,782.0506040078268,0.9426795504307326,0.6144085709782204,95.0,47.0,0.8388888888888889,76.0,0.3298174149569064,-0.4289916869032524
completion_helix,helix,completion,0.0,1000000000,3,13.906206608825075,39.65135166848351,47.44808868919452,2.9565661409585378,12.30091740518098,14.565570766536114,786.9311080110356,0.9494377826538432,0.6169806041149234,94.36666666666667,46.366666666666674,0.8422222222222223,121.33333333333333,-0.19272173199331633,-0.3908163738472865
guarded_completion_helix,helix,completion,0.75,0,3,13.867906608097238,40.367105887087774,46.44317810301316,3.085253049518419,12.329029525695347,15.501238921012726,783.1148795458952,0.9478104374863877,0.6152303976578622,93.71666666666668,45.716666666666676,0.84,32.666666666666664,0.5230324866109513,-0.3627042533329199
guarded_completion_oracle,oracle,completion,0.25,2,3,13.91925671798159,40.442239076377746,46.89284711179091,3.015819065788398,12.341848493206967,14.789522490382518,788.4456617018619,0.9569989243367116,0.6181114753991023,95.03333333333335,47.03333333333334,0.8433333333333333,70.33333333333333,0.5981656759009226,-0.3498852858212995
guarded_completion_oracle,oracle,completion,0.25,1,3,14.023012992504142,39.9023503067426,46.82946579243161,3.0156376238633595,12.358054849090067,14.910502748071963,790.3506322827499,0.9576899837587834,0.6198662559785069,94.71666666666668,46.716666666666676,0.8444444444444444,67.66666666666667,0.05827690626577464,-0.33367892993820014
guarded_completion_oracle,oracle,completion,0.0,1,3,13.883831971982588,40.33590914388056,46.952641302334655,3.0722760013203327,12.362866158397294,14.824713391805519,786.8775776570019,0.9567647424418667,0.6176266624432962,95.05000000000001,47.05000000000001,0.8422222222222223,104.33333333333333,0.49183574340374037,-0.3288676206309731
